1.501,1.647,1.645,1.584,1.58,1.507,1.488,1.46,1.451
1.50595,1.647,1.644,1.583,1.579,1.506,1.487,1.459,1.449
1.5109,1.646,1.644,1.582,1.578,1.505,1.486,1.458,1.448
1.51585,1.646,1.643,1.581,1.577,1.504,1.484,1.456,1.446
1.5208,1.646,1.643,1.581,1.577,1.503,1.483,1.455,1.445
1.52575,1.645,1.642,1.58,1.576,1.502,1.482,1.454,1.444
1.5307,1.645,1.642,1.579,1.575,1.501,1.481,1.452,1.442
1.53565,1.644,1.641,1.578,1.574,1.5,1.479,1.451,1.441
1.5406,1.644,1.641,1.577,1.573,1.499,1.478,1.45,1.44
1.54555,1.643,1.64,1.577,1.572,1.498,1.477,1.448,1.438
1.5505,1.643,1.64,1.576,1.571,1.496,1.475,1.447,1.437
1.55545,1.643,1.639,1.575,1.57,1.495,1.474,1.446,1.435
1.5604,1.642,1.639,1.574,1.57,1.494,1.473,1.444,1.434
1.56535,1.642,1.638,1.573,1.569,1.493,1.471,1.443,1.433
1.5703,1.641,1.638,1.573,1.568,1.492,1.47,1.442,1.431
1.57525,1.641,1.637,1.572,1.567,1.491,1.469,1.44,1.43
1.5802,1.64,1.636,1.571,1.566,1.49,1.468,1.439,1.428
1.58515,1.64,1.636,1.57,1.565,1.489,1.466,1.437,1.427
1.5901,1.64,1.635,1.569,1.564,1.488,1.465,1.436,1.426
1.59505,1.639,1.635,1.569,1.563,1.487,1.464,1.435,1.424
1.6,1.639,1.634,1.568,1.562,1.485,1.462,1.433,1.423
